Name,Cost,Alt Cost,Expansion,Strikes,Image location
Adventurer,6,0,BASE,1,dominion/adventurer.png
Bureaucrat,4,0,BASE,1,dominion/bureaucrat.png
Cellar,2,0,BASE,1,dominion/cellar.png
Chancellor,3,0,BASE,1,dominion/chancellor.png
Chapel,2,0,BASE,1,dominion/chapel.png
Council Room,5,0,BASE,0,dominion/council_room.png
Feast,4,0,BASE,1,dominion/feast.png
Festival,5,0,BASE,1,dominion/festival.png
Gardens,4,0,BASE,0,dominion/gardens.png
Laboratory,5,0,BASE,1,dominion/laboratory.png
Library,5,0,BASE,1,dominion/library.png
Market,5,0,BASE,0,dominion/market.png
Militia,4,0,BASE,0,dominion/militia.png
Mine,5,0,BASE,0,dominion/mine.png
Moat,2,0,BASE,2,dominion/moat.png
Moneylender,4,0,BASE,1,dominion/moneylender.png
Remodel,4,0,BASE,1,dominion/remodel.png
Smithy,4,0,BASE,1,dominion/smithy.png
Spy,4,0,BASE,1,dominion/spy.png
Thief,4,0,BASE,2,dominion/thief.png
Throne Room,4,0,BASE,0,dominion/throne_room.png
Village,3,0,BASE,0,dominion/village.png
Witch,5,0,BASE,1,dominion/witch.png
Woodcutter,3,0,BASE,2,dominion/woodcutter.png
Workshop,3,0,BASE,0,dominion/workshop.png
Baron,4,0,INTRIGUE,1,intrigue/baron.png
Bridge,4,0,INTRIGUE,1,intrigue/bridge.png
Conspirator,4,0,INTRIGUE,1,intrigue/conspirator.png
Coppersmith,4,0,INTRIGUE,1,intrigue/coppersmith.png
Courtyard,2,0,INTRIGUE,1,intrigue/courtyard.png
Duke,5,0,INTRIGUE,1,intrigue/duke.png
Great Hall,3,0,INTRIGUE,1,intrigue/great_hall.png
Harem,6,0,INTRIGUE,1,intrigue/harem.png
Ironworks,4,0,INTRIGUE,1,intrigue/ironworks.png
Masquerade,3,0,INTRIGUE,0,intrigue/masquerade.png
Mining Village,4,0,INTRIGUE,0,intrigue/mining_village.png
Minion,5,0,INTRIGUE,1,intrigue/minion.png
Nobles,6,0,INTRIGUE,1,intrigue/nobles.png
Pawn,2,0,INTRIGUE,1,intrigue/pawn.png
Saboteur,5,0,INTRIGUE,0,intrigue/saboteur.png
Scout,4,0,INTRIGUE,1,intrigue/scout.png
Secret Chamber,2,0,INTRIGUE,2,intrigue/secret_chamber.png
Shanty Town,3,0,INTRIGUE,1,intrigue/shanty_town.png
Steward,3,0,INTRIGUE,1,intrigue/steward.png
Swindler,3,0,INTRIGUE,1,intrigue/swindler.png
Torturer,5,0,INTRIGUE,1,intrigue/torturer.png
Trading Post,5,0,INTRIGUE,1,intrigue/trading_post.png
Tribute,5,0,INTRIGUE,1,intrigue/tribute.png
Upgrade,5,0,INTRIGUE,1,intrigue/upgrade.png
Wishing Well,3,0,INTRIGUE,1,intrigue/wishing_well.png
Ambassador,3,0,SEASIDE,1,seaside/ambassador.png
Bazaar,5,0,SEASIDE,1,seaside/bazaar.png
Caravan,4,0,SEASIDE,0,seaside/caravan.png
